departamento,codigo_municipio,municipio,grupo,variable,año,hombres de 6 meses,mujeres menores a 6 meses,hombres de 6 meses a 1 año,mujeres de 6 meses a 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 9 años,mujeres de 5 a 9 años,hombres de 10 a 14 años,mujeres de 10 a 14 años,hombres de 15 a 19 años,mujeres de 15 a 19 años,hombres de 20 a 39 años,mujeres de 20 a 39 años,hombres de 40 a 49 años,mujeres de 40 a 49 años,hombres de 50 a 59 años,mujeres de 50 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,dentro de establecimientos total,fuera de establecimientos total,total
CHUQUISACA,10402,TOMINA,otras infecciones,neumonia,2019,2,2,2,2,11,7,2,2,0,1,0,1,0,5,2,2,11,2,18,19,48,43,91
CHUQUISACA,10403,SOPACHUY,otras infecciones,neumonia,2019,4,5,1,0,5,5,0,4,0,1,0,2,6,3,5,9,2,1,19,23,42,53,95
CHUQUISACA,10404,ALCALA,otras infecciones,neumonia,2019,1,1,5,2,2,3,4,3,4,0,0,1,0,0,2,0,0,0,6,8,24,18,42
CHUQUISACA,10405,EL VILLAR,otras infecciones,neumonia,2019,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,1,1,1,2,5,6,11
CHUQUISACA,10501,MONTEAGUDO,otras infecciones,neumonia,2019,16,16,19,9,60,42,21,12,4,3,2,2,8,20,6,16,6,16,56,75,198,211,409
CHUQUISACA,10502,HUACARETA,otras infecciones,neumonia,2019,2,5,5,3,18,13,7,4,3,2,1,1,5,10,0,6,0,6,17,13,58,63,121
CHUQUISACA,10601,TARABUCO,otras infecciones,neumonia,2019,5,3,2,5,15,12,2,3,1,1,3,2,3,5,4,6,3,2,30,34,68,73,141
CHUQUISACA,10602,YAMPARAEZ,otras infecciones,neumonia,2019,2,1,0,1,3,1,3,0,0,1,0,0,4,1,0,1,0,2,6,7,18,15,33
CHUQUISACA,10701,CAMARGO,otras infecciones,neumonia,2019,13,7,16,10,19,15,4,5,0,2,2,1,2,4,8,4,5,7,39,38,108,93,201
CHUQUISACA,10702,SAN LUCAS,otras infecciones,neumonia,2019,9,5,10,6,20,25,1,2,0,0,0,1,7,8,4,5,15,11,47,61,113,124,237
CHUQUISACA,10703,INCAHUASI,otras infecciones,neumonia,2019,3,3,4,2,9,6,0,2,3,0,0,3,2,12,0,6,2,5,32,33,55,72,127
CHUQUISACA,10704,VILLA CHARCAS,otras infecciones,neumonia,2019,6,7,4,3,24,11,0,2,0,0,0,1,4,11,0,2,3,3,17,18,58,58,116
CHUQUISACA,10801,VILLA SERRANO,otras infecciones,neumonia,2019,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,7
CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),otras infecciones,neumonia,2019,0,0,0,0,1,0,1,0,0,0,1,0,0,2,2,3,7,1,3,8,15,14,29
CHUQUISACA,10902,CULPINA,otras infecciones,neumonia,2019,6,6,9,1,8,4,3,7,0,1,0,1,2,6,10,5,2,8,31,54,71,93,164
CHUQUISACA,10903,LAS CARRERAS,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,4,3,7
CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),otras infecciones,neumonia,2019,6,4,4,1,24,8,9,5,0,2,0,1,3,0,1,3,1,2,15,5,63,31,94
CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),otras infecciones,neumonia,2019,0,0,2,2,4,4,2,1,0,1,0,0,1,4,0,0,0,3,9,13,18,28,46
CHUQUISACA,11003,MACHARETI,otras infecciones,neumonia,2019,2,1,0,0,1,4,7,1,2,1,3,3,4,2,0,2,0,2,10,6,29,22,51
LA PAZ,20101,LA PAZ,otras infecciones,neumonia,2019,318,238,498,362,1227,1079,408,325,166,138,73,82,169,173,110,113,100,127,712,685,3781,3322,7103
LA PAZ,20102,PALCA,otras infecciones,neumonia,2019,6,7,1,5,16,5,1,0,0,1,1,0,0,2,1,0,1,1,6,2,33,23,56
LA PAZ,20103,MECAPACA,otras infecciones,neumonia,2019,0,1,2,1,7,6,7,4,0,5,4,0,7,10,4,7,4,2,11,15,46,51,97
LA PAZ,20104,ACHOCALLA,otras infecciones,neumonia,2019,2,1,3,1,3,4,1,0,0,0,1,0,0,2,2,1,2,0,3,2,17,11,28
LA PAZ,20105,EL ALTO,otras infecciones,neumonia,2019,1009,769,1126,950,2513,2198,272,237,59,67,60,63,159,189,73,111,84,124,427,426,5782,5134,10916
LA PAZ,20201,ACHACACHI,otras infecciones,neumonia,2019,9,3,5,2,16,15,0,4,0,0,1,0,1,0,1,0,5,3,8,9,46,36,82
LA PAZ,20202,ANCORAIMES,otras infecciones,neumonia,2019,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,2,1,0,12,4,16,9,25
LA PAZ,20203,CHUA COCANI,otras infecciones,neumonia,2019,2,0,1,3,6,8,0,1,0,1,0,0,0,3,0,0,0,0,13,8,22,24,46
LA PAZ,20204,HUARINA,otras infecciones,neumonia,2019,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,13,7,15,10,25
LA PAZ,20205,SANTIAGO DE HUATA,otras infecciones,neumonia,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,20206,HUATAJATA,otras infecciones,neumonia,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,7,6,8,8,16
LA PAZ,20301,CORO CORO,otras infecciones,neumonia,2019,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,4,5,6,8,14
LA PAZ,20302,CAQUIAVIRI,otras infecciones,neumonia,2019,3,2,5,2,4,2,1,0,0,0,0,0,0,1,0,0,1,0,5,3,19,10,29
LA PAZ,20303,CALACOTO,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4
LA PAZ,20304,COMANCHE,otras infecciones,neumonia,2019,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,5,7
LA PAZ,20305,CHARAÑA,otras infecciones,neumonia,2019,0,0,1,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,7,3,10
LA PAZ,20306,WALDO BALLIVIAN,otras infecciones,neumonia,2019,0,1,2,2,5,1,2,0,0,1,0,0,0,0,0,1,0,4,0,1,9,11,20
LA PAZ,20307,NAZACARA DE PACAJES,otras infecciones,neumonia,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,20308,SANTIAGO DE CALLAPA,otras infecciones,neumonia,2019,1,1,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14
LA PAZ,20401,PUERTO ACOSTA,otras infecciones,neumonia,2019,1,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,7,3,10
LA PAZ,20402,MOCOMOCO,otras infecciones,neumonia,2019,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,2,5
LA PAZ,20403,PUERTO CARABUCO,otras infecciones,neumonia,2019,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,6,9
LA PAZ,20404,HUMANATA,otras infecciones,neumonia,2019,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,5
LA PAZ,20405,ESCOMA,otras infecciones,neumonia,2019,0,2,1,2,1,4,0,1,1,0,0,0,1,0,0,0,0,0,1,2,5,11,16
LA PAZ,20501,CHUMA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
LA PAZ,20502,AYATA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,3,4
LA PAZ,20503,AUCAPATA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4
LA PAZ,20601,SORATA,otras infecciones,neumonia,2019,0,2,0,0,0,0,0,3,0,1,1,1,2,1,2,3,12,4,35,22,52,37,89
LA PAZ,20602,GUANAY,otras infecciones,neumonia,2019,5,3,3,3,8,11,2,3,1,1,0,2,2,1,0,2,3,0,16,5,40,31,71
LA PAZ,20603,TACACOMA,otras infecciones,neumonia,2019,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,5,4,9
LA PAZ,20604,QUIABAYA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA PAZ,20605,COMBAYA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA PAZ,20606,TIPUANI,otras infecciones,neumonia,2019,1,1,2,0,7,5,6,2,0,1,1,0,2,2,5,5,9,2,6,5,39,23,62
LA PAZ,20607,MAPIRI,otras infecciones,neumonia,2019,0,3,3,5,15,14,2,4,0,1,0,0,1,1,1,0,2,2,6,4,30,34,64
LA PAZ,20608,TEOPONTE,otras infecciones,neumonia,2019,1,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,1,5,2,9,9,18
LA PAZ,20701,APOLO,otras infecciones,neumonia,2019,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,5
LA PAZ,20702,PELECHUCO,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,20801,VIACHA,otras infecciones,neumonia,2019,35,24,31,22,65,73,12,16,2,4,1,3,6,5,7,3,4,9,18,18,181,177,358
LA PAZ,20802,GUAQUI,otras infecciones,neumonia,2019,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,6,4,10
LA PAZ,20803,TIAWANACU,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA PAZ,20804,DESAGUADERO,otras infecciones,neumonia,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,20805,SAN ANDRES DE MACHACA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,6,1,7
LA PAZ,20806,JESUS DE MACHACA,otras infecciones,neumonia,2019,2,0,3,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,3,5,10,13,23
LA PAZ,20807,TARACO,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1,5,2,7
LA PAZ,20901,LURIBAY,otras infecciones,neumonia,2019,1,0,0,0,1,2,0,0,0,0,0,0,2,0,1,1,1,0,0,2,6,5,11
LA PAZ,20902,SAPAHAQUI,otras infecciones,neumonia,2019,7,7,12,3,20,21,1,0,1,1,2,1,2,1,1,2,3,4,21,12,70,52,122
LA PAZ,20903,YACO,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,8,1,10,4,14
LA PAZ,20904,MALLA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LA PAZ,20905,CAIROMA,otras infecciones,neumonia,2019,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,2,7
LA PAZ,21001,INQUISIVI,otras infecciones,neumonia,2019,1,2,1,2,2,4,2,1,1,0,0,1,0,2,0,0,3,0,17,7,27,19,46
LA PAZ,21002,QUIME,otras infecciones,neumonia,2019,5,0,3,1,9,14,3,7,0,5,3,2,3,13,4,8,8,6,13,12,51,68,119
LA PAZ,21003,CAJUATA,otras infecciones,neumonia,2019,2,4,2,3,8,7,0,0,2,1,0,0,3,3,2,2,1,2,10,4,30,26,56
LA PAZ,21004,COLQUIRI,otras infecciones,neumonia,2019,2,5,11,7,23,15,2,6,3,0,3,4,14,16,6,4,8,6,25,23,97,86,183
LA PAZ,21005,ICHOCA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,7
LA PAZ,21006,LICOMA PAMPA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA PAZ,21101,CHULUMANI (V. DE LA LIBERTAD),otras infecciones,neumonia,2019,13,9,13,9,33,40,11,13,3,4,1,4,11,11,7,12,4,5,37,27,133,134,267
LA PAZ,21102,IRUPANA (VILLA DE LANZA),otras infecciones,neumonia,2019,4,5,6,4,27,27,17,8,8,4,0,1,2,5,1,3,3,5,16,12,84,74,158
LA PAZ,21103,YANACACHI,otras infecciones,neumonia,2019,1,0,0,3,3,3,2,0,0,0,0,1,8,0,1,4,3,0,12,6,30,17,47
LA PAZ,21104,PALOS BLANCOS,otras infecciones,neumonia,2019,13,7,18,23,37,41,19,12,1,6,0,4,13,13,6,13,5,7,78,34,190,160,350
LA PAZ,21105,LA ASUNTA,otras infecciones,neumonia,2019,19,11,25,18,75,43,16,17,8,4,3,1,38,26,10,8,10,4,44,25,248,157,405
LA PAZ,21201,PUCARANI,otras infecciones,neumonia,2019,4,7,3,2,9,7,1,2,0,1,0,2,3,2,0,0,1,2,7,11,28,36,64
LA PAZ,21202,LAJA,otras infecciones,neumonia,2019,2,3,2,2,2,6,0,2,0,0,0,0,1,3,0,0,1,0,5,8,13,24,37
LA PAZ,21203,BATALLAS,otras infecciones,neumonia,2019,1,1,0,1,4,7,1,0,0,0,0,0,2,0,1,0,0,0,6,6,15,15,30
LA PAZ,21204,PUERTO PEREZ,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,3,2,5
LA PAZ,21301,SICA SICA (VILLA AROMA),otras infecciones,neumonia,2019,5,2,4,4,13,17,2,2,0,0,2,2,2,5,5,2,3,1,14,22,50,57,107
LA PAZ,21302,UMALA,otras infecciones,neumonia,2019,2,1,1,0,4,2,0,4,0,0,0,0,0,0,0,0,0,1,4,5,11,13,24
LA PAZ,21303,AYO AYO,otras infecciones,neumonia,2019,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,5
LA PAZ,21304,CALAMARCA,otras infecciones,neumonia,2019,2,2,3,3,10,5,2,0,0,0,0,1,2,1,0,0,0,0,6,3,25,15,40
LA PAZ,21305,PATACAMAYA,otras infecciones,neumonia,2019,16,4,9,6,16,15,3,0,0,0,0,1,2,4,0,2,1,3,22,26,69,61,130
LA PAZ,21306,COLQUENCHA,otras infecciones,neumonia,2019,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,3,6
LA PAZ,21307,COLLANA,otras infecciones,neumonia,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4
LA PAZ,21401,COROICO,otras infecciones,neumonia,2019,13,4,13,8,37,38,18,8,6,2,0,1,4,8,1,2,4,12,13,16,109,99,208
LA PAZ,21402,CORIPATA,otras infecciones,neumonia,2019,5,5,5,5,24,11,8,6,3,3,0,0,5,10,3,1,4,2,26,25,83,68,151
LA PAZ,21501,IXIAMAS,otras infecciones,neumonia,2019,3,8,8,5,22,26,5,5,0,3,0,0,0,2,0,1,3,1,6,2,47,53,100
LA PAZ,21502,SAN BUENA VENTURA,otras infecciones,neumonia,2019,32,19,18,23,52,58,22,4,6,3,0,0,1,9,1,2,2,2,20,23,154,143,297
LA PAZ,21601,GRAL. J.J. PEREZ (CHARAZANI),otras infecciones,neumonia,2019,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
LA PAZ,21602,CURVA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA PAZ,21701,COPACABANA,otras infecciones,neumonia,2019,0,0,1,2,2,0,2,0,0,1,0,0,3,1,1,0,0,2,8,10,17,16,33
LA PAZ,21702,SAN PEDRO DE TIQUINA,otras infecciones,neumonia,2019,0,0,2,1,9,2,0,1,0,0,0,1,2,2,1,2,0,1,4,0,18,10,28
LA PAZ,21703,TITO YUPANQUI (PARQUIPUJIO),otras infecciones,neumonia,2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,5
LA PAZ,21801,SAN PEDRO DE CURAHUARA,otras infecciones,neumonia,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,6,6,8,14
LA PAZ,21802,PAPEL PAMPA,otras infecciones,neumonia,2019,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,7,3,10
LA PAZ,21803,CHACARILLA,otras infecciones,neumonia,2019,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
LA PAZ,21901,SANTIAGO DE MACHACA,otras infecciones,neumonia,2019,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,6
LA PAZ,21902,CATACORA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LA PAZ,22001,CARANAVI,otras infecciones,neumonia,2019,15,12,14,9,37,37,7,11,2,2,4,1,5,10,7,2,18,10,53,28,162,122,284
LA PAZ,22002,ALTO BENI,otras infecciones,neumonia,2019,0,0,4,0,2,1,1,1,1,0,0,0,1,0,0,1,0,1,7,2,16,6,22
LA PAZ,22004,HUMANATA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCHABAMBA,30101,COCHABAMBA,otras infecciones,neumonia,2019,284,220,378,290,1012,792,300,247,98,87,29,58,200,299,143,169,182,242,884,1050,3510,3454,6964
COCHABAMBA,30201,AIQUILE,otras infecciones,neumonia,2019,9,4,5,6,33,21,10,9,3,4,3,1,7,4,3,4,5,3,16,24,94,80,174
COCHABAMBA,30202,PASORAPA,otras infecciones,neumonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,4
COCHABAMBA,30203,OMEREQUE,otras infecciones,neumonia,2019,9,7,5,7,33,18,4,6,2,4,2,2,5,10,2,5,7,7,13,9,82,75,157
COCHABAMBA,30301,AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,neumonia,2019,16,8,14,18,38,28,1,3,0,0,1,0,3,3,2,0,3,1,11,7,89,68,157
COCHABAMBA,30302,MOROCHATA,otras infecciones,neumonia,2019,1,1,2,0,5,7,1,0,0,0,1,0,2,1,0,4,2,1,16,18,30,32,62
COCHABAMBA,30303,COCAPATA,otras infecciones,neumonia,2019,10,7,8,6,17,19,1,3,0,0,1,3,1,1,0,1,1,0,5,5,44,45,89
COCHABAMBA,30401,TARATA,otras infecciones,neumonia,2019,1,2,2,5,14,14,2,1,0,2,2,1,3,9,0,1,2,1,28,28,54,64,118
COCHABAMBA,30402,ANZALDO,otras infecciones,neumonia,2019,0,0,0,3,2,1,2,2,1,0,2,0,0,2,1,1,1,1,7,16,16,26,42
COCHABAMBA,30403,ARBIETO,otras infecciones,neumonia,2019,1,1,0,1,7,2,2,1,0,1,0,0,1,1,0,0,0,0,6,22,17,29,46
COCHABAMBA,30404,SACABAMBA,otras infecciones,neumonia,2019,2,1,0,0,7,4,0,1,3,0,0,0,1,1,0,0,0,2,16,12,29,21,50
COCHABAMBA,30501,ARANI,otras infecciones,neumonia,2019,3,0,3,0,10,3,3,1,0,0,0,0,0,2,0,1,1,4,19,22,39,33,72
COCHABAMBA,30502,VACAS,otras infecciones,neumonia,2019,1,0,2,0,6,1,1,0,0,0,1,0,0,1,0,0,0,0,3,8,14,10,24
COCHABAMBA,30601,ARQUE,otras infecciones,neumonia,2019,1,3,0,1,2,2,2,2,0,1,0,0,0,0,1,1,1,2,2,2,9,14,23
COCHABAMBA,30602,TACOPAYA,otras infecciones,neumonia,2019,3,1,2,1,10,7,0,0,0,0,0,0,1,1,0,1,1,0,6,16,23,27,50
COCHABAMBA,30701,CAPINOTA,otras infecciones,neumonia,2019,46,15,25,23,66,34,10,5,6,4,3,1,2,10,0,19,2,4,20,21,180,136,316
COCHABAMBA,30702,SANTIVAÑES,otras infecciones,neumonia,2019,3,2,2,0,0,1,9,1,0,0,1,0,0,2,0,0,4,1,4,5,23,12,35
COCHABAMBA,30703,SICAYA,otras infecciones,neumonia,2019,10,4,8,8,11,19,1,0,0,0,0,0,0,2,0,0,0,0,4,3,34,36,70
COCHABAMBA,30801,CLIZA,otras infecciones,neumonia,2019,9,1,9,5,27,25,3,7,1,0,0,0,1,4,0,2,1,0,14,18,65,62,127
COCHABAMBA,30802,TOCO,otras infecciones,neumonia,2019,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,5,10,9,10,19
COCHABAMBA,30803,TOLATA,otras infecciones,neumonia,2019,5,3,4,2,6,2,1,1,1,1,0,0,0,3,0,2,0,3,2,14,19,31,50
COCHABAMBA,30901,QUILLACOLLO,otras infecciones,neumonia,2019,96,58,107,89,264,273,60,48,32,29,18,13,39,55,22,23,39,44,185,248,862,880,1742
COCHABAMBA,30902,SIPE SIPE,otras infecciones,neumonia,2019,58,47,59,42,98,76,11,7,4,1,2,3,16,14,2,10,9,6,88,105,347,311,658
COCHABAMBA,30903,TIQUIPAYA,otras infecciones,neumonia,2019,37,25,53,57,182,124,16,25,8,3,3,6,9,14,5,11,9,14,64,82,386,361,747
COCHABAMBA,30904,VINTO,otras infecciones,neumonia,2019,47,28,96,52,155,145,36,40,7,4,4,3,9,14,5,8,7,13,58,71,424,378,802
COCHABAMBA,30905,COLCAPIRHUA,otras infecciones,neumonia,2019,10,15,28,15,81,67,18,19,6,3,2,4,21,11,6,12,7,6,59,61,238,213,451
COCHABAMBA,31001,SACABA,otras infecciones,neumonia,2019,158,112,112,60,296,259,77,44,20,11,10,19,31,49,15,39,28,34,168,186,915,813,1728
COCHABAMBA,31002,COLOMI,otras infecciones,neumonia,2019,3,2,7,3,20,11,5,3,2,1,1,1,4,4,0,2,10,5,38,29,90,61,151
COCHABAMBA,31003,VILLA TUNARI,otras infecciones,neumonia,2019,146,82,141,119,394,341,101,120,34,24,24,13,64,103,26,32,60,51,186,138,1176,1023,2199
COCHABAMBA,31101,TAPACARI,otras infecciones,neumonia,2019,8,4,1,2,4,0,1,1,1,0,0,0,1,5,2,4,0,2,7,10,25,28,53
COCHABAMBA,31201,TOTORA(CBBA),otras infecciones,neumonia,2019,24,13,15,9,29,18,3,9,0,0,0,0,7,4,2,1,0,7,17,9,97,70,167
COCHABAMBA,31202,POJO (CBBA),otras infecciones,neumonia,2019,8,5,3,7,12,11,2,3,1,0,0,1,3,1,1,3,2,5,11,22,43,58,101
COCHABAMBA,31203,POCONA,otras infecciones,neumonia,2019,2,4,4,3,5,4,2,2,1,0,1,1,0,2,0,1,2,1,20,19,37,37,74
COCHABAMBA,31204,CHIMORE,otras infecciones,neumonia,2019,35,23,51,44,163,137,30,49,12,14,8,11,13,39,13,10,7,13,38,39,370,379,749
COCHABAMBA,31205,PUERTO VILLARROEL,otras infecciones,neumonia,2019,104,68,138,95,336,323,46,39,19,19,19,15,28,62,34,29,43,46,152,117,919,813,1732
COCHABAMBA,31206,ENTRE RIOS CBBA,otras infecciones,neumonia,2019,53,31,75,35,173,131,42,26,10,7,10,6,34,50,16,19,17,19,71,96,501,420,921
COCHABAMBA,31301,MIZQUE,otras infecciones,neumonia,2019,13,7,19,12,42,45,8,11,2,5,1,3,4,4,4,2,3,4,14,35,110,128,238
COCHABAMBA,31302,VILA VILA,otras infecciones,neumonia,2019,0,0,1,1,6,3,0,1,0,0,1,2,1,0,1,0,1,0,2,3,13,10,23
COCHABAMBA,31303,ALALAY,otras infecciones,neumonia,2019,1,1,1,0,3,3,5,1,1,1,1,0,4,2,0,0,1,1,6,5,23,14,37
COCHABAMBA,31304,RAQAYPAMPA(ETA),otras infecciones,neumonia,2019,13,24,17,24,63,64,8,12,3,4,5,3,4,11,1,7,2,9,16,28,132,186,318
COCHABAMBA,31401,PUNATA,otras infecciones,neumonia,2019,29,23,30,28,79,44,18,13,5,3,4,4,14,12,5,10,12,22,143,198,339,357,696
COCHABAMBA,31402,VILLA RIVERO,otras infecciones,neumonia,2019,5,2,3,9,18,9,0,1,0,0,0,1,0,1,1,2,2,1,16,13,45,39,84
COCHABAMBA,31403,SAN BENITO,otras infecciones,neumonia,2019,1,2,0,2,3,2,0,1,0,0,0,0,1,0,1,0,1,0,6,11,13,18,31
COCHABAMBA,31404,TACACHI,otras infecciones,neumonia,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
COCHABAMBA,31405,CUCHUMUELA (V. G. VILLARROEL),otras infecciones,neumonia,2019,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,3,9,3,15,18
COCHABAMBA,31501,BOLIVAR,otras infecciones,neumonia,2019,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,1,0,1,4,5,7,12,19
COCHABAMBA,31601,TIRAQUE (CBBA),otras infecciones,neumonia,2019,8,7,8,6,17,9,1,3,2,0,0,2,0,1,0,0,2,1,6,8,44,37,81
COCHABAMBA,31602,SHINAOTA,otras infecciones,neumonia,2019,23,16,32,24,117,113,23,32,12,4,7,1,10,22,11,6,8,10,38,48,281,276,557
