departamento,codigo_municipio,municipio,DEPARTAMENTO,grupo,variable,year,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
LA PAZ,20205,SANTIAGO DE HUATA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20206,HUATAJATA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20301,CORO CORO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20302,CAQUIAVIRI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20303,CALACOTO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20304,COMANCHE,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20305,CHARAÑA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20306,WALDO BALLIVIAN,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20307,NAZACARA DE PACAJES,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20308,SANTIAGO DE CALLAPA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20401,PUERTO ACOSTA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20402,MOCOMOCO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20403,PUERTO CARABUCO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20404,HUMANATA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20405,ESCOMA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20501,CHUMA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20502,AYATA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20503,AUCAPATA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20601,SORATA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20602,GUANAY,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20603,TACACOMA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20604,QUIABAYA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20605,COMBAYA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20606,TIPUANI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20607,MAPIRI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20608,TEOPONTE,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20701,APOLO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20702,PELECHUCO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20801,VIACHA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20802,GUAQUI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20803,TIAWANACU,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20804,DESAGUADERO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20805,SAN ANDRES DE MACHACA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20806,JESUS DE MACHACA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20807,TARACO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20901,LURIBAY,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20902,SAPAHAQUI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20903,YACO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20904,MALLA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20905,CAIROMA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21001,INQUISIVI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21002,QUIME,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21003,CAJUATA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21004,COLQUIRI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21005,ICHOCA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21006,LICOMA PAMPA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21101,CHULUMANI (V. DE LA LIBERTAD),LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21102,IRUPANA (VILLA DE LANZA),LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21103,YANACACHI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21104,PALOS BLANCOS,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21105,LA ASUNTA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21201,PUCARANI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21202,LAJA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21203,BATALLAS,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21204,PUERTO PEREZ,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21301,SICA SICA (VILLA AROMA),LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21302,UMALA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21303,AYO AYO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21304,CALAMARCA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21305,PATACAMAYA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21306,COLQUENCHA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21307,COLLANA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21401,COROICO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21402,CORIPATA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21501,IXIAMAS,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21502,SAN BUENA VENTURA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21601,GRAL. J.J. PEREZ (CHARAZANI),LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21602,CURVA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21701,COPACABANA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21702,SAN PEDRO DE TIQUINA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21703,TITO YUPANQUI (PARQUIPUJIO),LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21801,SAN PEDRO DE CURAHUARA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21802,PAPEL PAMPA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21803,CHACARILLA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21901,SANTIAGO DE MACHACA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,21902,CATACORA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,22001,CARANAVI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,22002,ALTO BENI,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,22004,HUMANATA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30101,COCHABAMBA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30201,AIQUILE,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30202,PASORAPA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30203,OMEREQUE,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30301,AYOPAYA (V. DE INDEPENDENCIA),COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30302,MOROCHATA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30303,COCAPATA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30401,TARATA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30402,ANZALDO,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30403,ARBIETO,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30404,SACABAMBA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30501,ARANI,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30502,VACAS,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30601,ARQUE,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30602,TACOPAYA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30701,CAPINOTA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30702,SANTIVAÑES,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30703,SICAYA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30801,CLIZA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30802,TOCO,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30803,TOLATA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30901,QUILLACOLLO,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30902,SIPE SIPE,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30903,TIQUIPAYA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30904,VINTO,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,30905,COLCAPIRHUA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31001,SACABA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31002,COLOMI,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31003,VILLA TUNARI,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31101,TAPACARI,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31201,TOTORA(CBBA),COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31202,POJO (CBBA),COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31203,POCONA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31204,CHIMORE,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31205,PUERTO VILLARROEL,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31206,ENTRE RIOS CBBA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31301,MIZQUE,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31302,VILA VILA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31303,ALALAY,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31304,RAQAYPAMPA(ETA),,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31401,PUNATA,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31402,VILLA RIVERO,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31403,SAN BENITO,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31404,TACACHI,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31405,CUCHUMUELA (V. G. VILLARROEL),COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31501,BOLIVAR,COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31601,TIRAQUE (CBBA),COCHABAMBA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
COCHABAMBA,31602,SHINAOTA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40101,ORURO,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40102,CARACOLLO,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40103,EL CHORO,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40104,SORACACHI,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40201,CHALLAPATA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40202,SANTUARIO DE QUILLACAS,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40301,CORQUE,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40302,CHOQUE COTA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40401,CURAHUARA DE CARANGAS,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40402,TURCO,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40501,HUACHACALLA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40502,ESCARA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40503,CRUZ DE MACHACAMARCA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40504,YUNGUYO DE LITORAL,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40505,ESMERALDA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40601,POOPO,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40602,PAZÑA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40603,ANTEQUERA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40701,HUANUNI,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40702,MACHACAMARCA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40801,SALINAS DE GARCI MENDOZA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40802,PAMPA AULLAGAS,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40901,SABAYA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40902,COIPASA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,40903,CHIPAYA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41001,TOLEDO,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41101,EUCALIPTUS,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41201,ANDAMARCA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41202,BELEN DE ANDAMARCA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41301,TOTORA(ORR),ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41401,SANTIAGO DE HUARI,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41501,LA RIVERA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41502,TODOS SANTOS,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41503,CARANGAS,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
ORURO,41601,HUAYLLAMARCA,ORURO,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50101,POTOSI,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50102,TINGUIPAYA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50103,YOCALLA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50104,BELEN DE URMIRI,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50201,UNCIA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50202,CHAYANTA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50203,LLALLAGUA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50204,CHUQUIHUTA AYLLU JUCUMANI,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50301,BETANZOS,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50302,CHAQUI,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50303,TACOBAMBA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50401,COLQUECHACA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50402,RAVELO,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50403,POCOATA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50404,OCURI,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50405,SAN PEDRO DE MACHA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50501,SAN PEDRO DE BUENA VISTA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50502,TORO TORO,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50601,COTAGAITA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50602,VITICHI,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50701,SACACA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50702,CARIPUYO,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50801,TUPIZA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50802,ATOCHA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50901,"COLCHA ""K""",POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,50902,SAN PEDRO DE QUEMES,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51001,SAN PABLO DE LIPEZ,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51002,MOJINETE,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51003,SAN ANTONIO DE ESMORUCO,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51101,PUNA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51102,"CAIZA ""D""",POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51103,CKOCHAS,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51201,UYUNI,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51202,TOMAVE,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51203,PORCO,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51301,ARAMPAMPA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51302,ACACIO,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51401,LLICA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51402,TAHUA,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51501,VILLAZON,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
POTOSI,51601,SAN AGUSTIN,POTOSI,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60101,TARIJA,TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60201,PADCAYA,TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60202,BERMEJO,TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60301,YACUIBA,TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60302,CARAPARI,TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60303,VILLA MONTES,TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60401,URIONDO (A. CONCEPCION),TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60402,YUNCHARA,TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60501,SAN LORENZO(TJA),TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60502,EL PUENTE(TJA),TARIJA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
TARIJA,60601,ENTRE RIOS TRJ,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
